nome;nazionale;ruolo;quotazione
DEEDSON;HAITI;A;16
DEGENEK;AUSTRALIA;D;3
DELCROIX;HAITI;D;3
DEMBELE O;FRANCIA;A;34
DEMIRAL;TURCHIA;D;10
DEMIROVIC;BOSNIA;A;11
DEPAY;OLANDA;A;17
DEST;USA;D;7
DEVLIN;AUSTRALIA;C;3
DIAKITE O;IVORY COAST;A;15
DIALLO TRAORE;IVORY COAST;A;18
DIAO A;SENEGAL;A;4
DIARRA H;SENEGAL;C;5
DIATTA;SENEGAL;C;7
DIAW M;SENEGAL;P;1
DIAZ B;MAROCCO;C;12
DIAZ I;PANAMA;A;10
DIENG B;SENEGAL;A;3
DIGNE;FRANCIA;D;7
DIOGO COSTA;PORTOGALLO;P;16
DIOMANDE O;IVORY COAST;D;5
DIOMANDE Y;IVORY COAST;A;20
DIOP I;MAROCCO;D;6
DIOUF CM;SENEGAL;D;3
DIOUF Y;SENEGAL;P;1
DITTA W;COLOMBIA;D;5
DOAN;GIAPPONE;C;14
DOKU;BELGIO;C;24
DOORNBUSCH;CURACAO;P;1
DOSKI M;IRAQ;D;1
DOUDERA;REPUBBLICA CECA;C;7
DOUE D;FRANCIA;A;28
DOUE G;IVORY COAST;D;3
DOUGLAS SANTOS;BRASILE;D;2
DUARTE D;CAPO VERDE;C;2
DUARTE D;CAPO VERDE;C;1
DUARTE D;CAPO VERDE;C;1
DUMFRIES;OLANDA;D;16
DUNGA N;EGITTO;C;6
DUVERGER;HAITI;P;1
DUVERNE;HAITI;D;7
DYKES;SCOZIA;A;14
DZEKO;BOSNIA;A;20
E FERNANDEZ;ARGENTINA;C;14
ECKERT AYENSA;IRAN;A;7
EDERSON;BRASILE;P;14
EDERSON DS;BRASILE;C;10
EDMILSON JUNIOR;QATAR;C;9
EIRI;IRAN;D;2
EKDAL H;SVEZIA;D;5
EL AYNAOUI;MAROCCO;C;5
EL KAABI;MAROCCO;A;15
EL KAJOUI M;MAROCCO;P;1
EL KHANNOUSS;MAROCCO;C;12
EL MOURABET S;MAROCCO;C;3
EL OUAHDI;MAROCCO;D;4
EL SHENAWY M;EGITTO;P;1
ELANGA;SVEZIA;A;22
ELIA;CONGO;A;11
ELLIOT C;NUOVA ZELANDA;C;1
ELLOUMI R;TUNISIA;A;3
ELMALI;TURCHIA;D;7
ELVEDI;SVIZZERA;D;9
EMBOLO;SVIZZERA;A;21
ENCISO;PARAGUAY;C;12
ENDRICK M;BRASILE;A;16
EOM;COREA DEL SUD;A;4
EPOLO;CONGO;P;1
ERGASHEV;UZBEKISTAN;P;1
ERIC GARCIA;SPAGNA;D;5
ERLIC;CROAZIA;D;7
ESANOV S;UZBEKISTAN;C;3
ESCOBAR F;PANAMA;D;6
ESHMURODOV;UZBEKISTAN;D;4
ESTUPINAN;ECUADOR;D;7
ETIENNE JR;HAITI;C;3
EUSTAQUIO;CANADA;C;5
EVANS COSTA;CAPO VERDE;D;5
EXPERIENCE;HAITI;D;4
EZATOLAHI;IRAN;C;4
EZE;INGHILTERRA;C;22
FABIAN RUIZ;SPAGNA;C;15
FABINHO;BRASILE;C;4
FADEL HASAN;GIORDANIA;C;6
FAJARDO J;PANAMA;A;12
FAKHOURY O;GIORDANIA;A;6
FALCHENER;NORVEGIA;D;6
FARINA E;PANAMA;D;1
FARJI M;IRAQ;C;3
FASSNACHT;SVIZZERA;C;4
FATAWU;GHANA;A;11
FATHI;QATAR;C;3
FATHY H;EGITTO;C;9
FATOUH;EGITTO;C;4
FAYULU;CONGO;P;1
FAYZULLAEV;UZBEKISTAN;A;10
FELIDA;CURACAO;C;5
FELIX J;PORTOGALLO;A;13
FERGUSON;SCOZIA;C;9
FERNANDEZ R;PARAGUAY;P;2
FERNANDEZ-PARDO;BELGIO;A;13
FERRAN T;SPAGNA;A;19
FIDALGO;MESSICO;C;4
FLEKKEN;OLANDA;P;1
FLETCHER T;SCOZIA;C;4
FLORANUS;CURACAO;D;5
FOFANA SE;IVORY COAST;C;11
FOFANA YAH;IVORY COAST;P;7
FONVILLE;CURACAO;D;2
FORTUNE;HAITI;A;4
FOSTER;SUDAFRICA;A;10
FRANCO P;ECUADOR;C;1
FREEMAN A;USA;D;5
FREULER;SVIZZERA;C;6
FRIEDL;AUSTRIA;D;6
FRUK;CROAZIA;C;9
GAARI;CURACAO;D;6
GABER;QATAR;C;4
GAKPO;OLANDA;A;27
GALARZA M;PARAGUAY;C;8
GALINDEZ;ECUADOR;P;7
GALLARDO J;MESSICO;D;7
GANIYEV;UZBEKISTAN;C;1
GARBETT;NUOVA ZELANDA;C;6
GARCIA J;SPAGNA;P;1
GAVI;SPAGNA;C;6
GEARY FREESE;USA;P;1
GEERTRUIDA;OLANDA;D;10
GERIA J;AUSTRALIA;D;2
GESSIME;MAROCCO;A;10
GHADHBAN;IRAQ;A;11
GHAEDI;IRAN;C;6
GHARBI ALVAREZ;TUNISIA;C;3
GHAYEDI;IRAN;C;3
GHEDJEMIS F;ALGERIA;A;16
GHODDOS;IRAN;C;2
GHORBANI;IRAN;C;3
GIGOVIC A;BOSNIA;C;8
GILL O;PARAGUAY;P;1
GIMENEZ;MESSICO;A;23
GIMENEZ JM;URUGUAY;D;8
GLAO TAH;GERMANIA;D;8
GODOY A;PANAMA;C;6
GOMEZ CA;COLOMBIA;A;11
GOMEZ D;PARAGUAY;C;6
GOMEZ G;PARAGUAY;D;7
GONZALEZ;ARGENTINA;A;15
GONZALEZ A;MESSICO;A;16
GOODMAN;CANADA;P;1
GORDON;INGHILTERRA;A;23
GORDON CS;SCOZIA;P;1
GORETZKA;GERMANIA;C;10
GORRE;CURACAO;A;11
GOSS;SUDAFRICA;P;1
GOTO;GIAPPONE;C;4
GOUIRI;ALGERIA;A;11
GRAVENBERCH;OLANDA;C;10
GREGORITSCH;AUSTRIA;A;21
GRILLITSCH;AUSTRIA;C;9
GRIMALDO;SPAGNA;D;13
GROSS P;GERMANIA;D;6
GUDMUNDSSON;SVEZIA;D;7
GUEDES G;PORTOGALLO;A;12
GUEHI;INGHILTERRA;D;12
GUESSAND;IVORY COAST;A;22
GUEYE I;SENEGAL;C;7
GUEYE P;SENEGAL;C;4
GUIAGON;IVORY COAST;C;2
GUIMARAES;BRASILE;C;9
GUL;TURCHIA;A;15
GUNN;SCOZIA;P;7
GUNOK;TURCHIA;P;1
GUTIERREZ;MESSICO;A;17
GUTIERREZ A;MESSICO;C;6
GUTIERREZ J;PANAMA;D;4
GVARDIOL;CROAZIA;D;9
GYOKERES V;SVEZIA;A;29
HAALAND;NORVEGIA;A;31
HADDAD;GIORDANIA;D;1
HADJ MOUSSA A;ALGERIA;A;5
HADJAM J;ALGERIA;D;5
HADZIAHMETOVIC;BOSNIA;C;6
HADZIKADUNIC D;BOSNIA;D;5
HAFEZ K;EGITTO;D;5
HAJISAFI;IRAN;D;3
HAKIMI;MAROCCO;D;12
HALHAL R;MAROCCO;D;3
HAMDAMOV;UZBEKISTAN;A;5
HAMROBEKOV;UZBEKISTAN;C;2
HANLEY G;SCOZIA;D;5
HANSEN;CURACAO;A;7
HANY M;EGITTO;D;5
HARDANI;IRAN;D;3
HASHIM;IRAQ;A;1
HASSAN;EGITTO;A;4
HASSAN M;IRAQ;P;5
HATIM;QATAR;C;1
HATO;OLANDA;D;5
HAUGE;NORVEGIA;A;12
HAVERTZ;GERMANIA;C;12
HAYAKAWA T;GIAPPONE;P;1
HEGGEM;NORVEGIA;D;7
HELIO VARELA;CAPO VERDE;C;1
HENDERSON;INGHILTERRA;C;9
HENDERSON D;INGHILTERRA;P;1
HENDRY;SCOZIA;D;4
HERNANDEZ;FRANCIA;D;14
HERNANDEZ C;COLOMBIA;A;6
HERNANDEZ L;FRANCIA;D;5
HERRINGTON L;AUSTRALIA;D;3
HICKEY;SCOZIA;D;6
HIEN;SVEZIA;D;6
HINCAPIE P;ECUADOR;D;6
HIRST G;SCOZIA;A;5
HLOZEK;REPUBBLICA CECA;A;13
HOLES;REPUBBLICA CECA;D;7
HORNICEK;REPUBBLICA CECA;P;1
HOSSEINI H;IRAN;P;1
HOSSEINZADEH;IRAN;A;5
HRANAC R;REPUBBLICA CECA;D;8
HRUSTIC;AUSTRALIA;C;7
HUERTA C;MESSICO;A;5
HWANG;COREA DEL SUD;A;18
HWANG IN-BEOM;COREA DEL SUD;C;2
HYAM D;SCOZIA;D;3
HYUN-JUN YANG;COREA DEL SUD;C;6
IBANEZ;BRASILE;D;6
IGLESIAS B;SPAGNA;A;11
INACIO G;PORTOGALLO;D;6
IQBAL;IRAQ;C;8
IRANKUNDA N;AUSTRALIA;C;6
IRVINE J;AUSTRALIA;C;7
ISAK;SVEZIA;A;18
ISAMIL Z;IRAQ;C;2
ISIDOR W;HAITI;A;3
ISKANDEROV;UZBEKISTAN;C;3
ITAKURA;GIAPPONE;D;10
ITALIANO J;AUSTRALIA;D;2
ITO;GIAPPONE;A;12
ITO H;GIAPPONE;D;8
ITTEN;SVIZZERA;A;12
IZZO;AUSTRALIA;P;1
JACKSON;SENEGAL;A;19
JAHANBAKHSH;IRAN;C;4
JAKIC;CROAZIA;C;12
JAKOBS;SENEGAL;D;4
JAMES;INGHILTERRA;D;13
JAMOUS;GIORDANIA;D;4
JAMSHID;QATAR;A;4
JAQUEZ L;SVIZZERA;D;6
JASHARI A;SVIZZERA;C;4
JASIM A;IRAQ;C;2
JEAN-JACQUES;HAITI;C;9
JO;COREA DEL SUD;P;7
JOAO NEVES;PORTOGALLO;C;17
JOHANSSON H;SVEZIA;C;1
JOHANSSON VT;SVEZIA;P;8
JOHNSTON AW;CANADA;D;3
JONES A;CANADA;D;4
JOSEPH JR;HAITI;C;1
JURASEK;REPUBBLICA CECA;D;5
JURKAS;BOSNIA;P;1
JUST;NUOVA ZELANDA;A;18
KABAK;TURCHIA;D;5
KABINI;SUDAFRICA;D;4
KADIOGLU F;TURCHIA;D;9
KAHVECI;TURCHIA;C;14
KAKU RG;PARAGUAY;C;6
KAKUTA G;CONGO;C;5
KALAJDZIC S;AUSTRIA;A;3
KALULU K;CONGO;D;4
KAMADA;GIAPPONE;C;13
KANAANI;IRAN;D;2
KANE;INGHILTERRA;A;39
KANNO;ARABIA SAUDITA;C;5
KANTE;FRANCIA;C;8
KAPUADI;CONGO;D;1
KARIMOV B;UZBEKISTAN;D;4
KARLSTROM J;SVEZIA;C;5
KASTANEER;CURACAO;A;14
KATIC;BOSNIA;D;7
KAYEMBE E;CONGO;C;4
KAYEMBE J;CONGO;D;6
KELLER;SVIZZERA;P;1
KELLY;SCOZIA;P;1
KESSIE;IVORY COAST;C;7
KHALILZADEH;IRAN;D;1
KHEDIRA;TUNISIA;C;4
